origin_id,dest_id,origin_lat,origin_long,dest_lat,dest_long,unidad,tipo_unidad,real_start,real_end,real_minutes,calculated_minutes,calculated_kms,carga
35597,35596,20.721,-103.4845,19.8885,-99.2431,32249,Thorton,2021-02-02 20:34:00,2021-02-03 06:14:00,580,580.8000000000001,516.13,1
34778,34619,27.5635,-99.5988,19.0891,-98.1941,44728,Thorton,2021-02-02 20:44:00,2021-02-03 20:56:00,1452,1452.8000000000002,1233.4,1
35601,35597,25.5021,-100.9677,20.721,-103.4845,20616,Thorton,2021-02-02 20:46:00,2021-02-03 12:20:00,934,934.4000000000001,725.02,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,38298,Thorton,2021-02-02 20:56:00,2021-02-03 13:08:00,972,972.8000000000001,794.79,1
34402,36188,25.6931,-100.1578,20.5779,-103.3388,44747,Thorton,2021-02-02 21:49:00,2021-02-03 14:46:00,1017,1017.6,809.62,1
35248,35389,19.6115,-99.2182,21.8801,-102.2616,21900,Thorton,2021-02-02 22:27:00,2021-02-03 07:29:00,542,542.4,463.51,1
35602,35596,22.0765,-100.8912,19.8885,-99.2431,23316,Thorton,2021-02-02 22:32:00,2021-02-03 05:34:00,422,422.40000000000003,347.49,1
38078,34313,14.6765,-92.1556,19.151,-98.8605,17497,Thorton,2021-02-02 23:08:00,2021-02-03 21:51:00,1363,1363.2,1104.93,1
35601,35596,25.5021,-100.9677,19.8885,-99.2431,38664,Thorton,2021-02-02 23:16:00,2021-02-03 15:28:00,972,972.8000000000001,794.79,1
38078,34313,14.6765,-92.1556,19.151,-98.8605,20283,Thorton,2021-02-02 23:22:00,2021-02-03 22:05:00,1363,1363.2,1104.93,1
35248,36393,19.6115,-99.2182,17.0681,-96.6954,19912,Thorton,2021-02-03 03:51:00,2021-02-03 13:33:00,582,582.4,495.62,1
35601,37750,25.5021,-100.9677,19.7379,-99.2003,32580,Thorton,2021-02-03 13:01:00,2021-02-04 05:29:00,988,988.8000000000001,807.47,1
35601,36889,25.5021,-100.9677,27.479,-99.6252,34102,Thorton,2021-02-03 08:47:00,2021-02-03 14:18:00,331,331.20000000000005,285.36,1
