"VIAJEID","UBICACIONORIGENID","UBICACION_ORIGEN","DESC_UBICACION_ORI","LOCALIDAD_ORI","LATITUD_ORI","LONGITUD_ORI","UBICACIONDESTINOID","UBICACION_DESTINO","DESC_UBICACION_DEST","LOCALIDAD_DEST","LATITUD_DEST","LONGITUD_DEST","DEMORAINICIO","DURACIONVIAJE","HORARIOINICIOID","HI_COMPLETO","TIEMPOINICIOID","HORARIOINICIOREALID","HR_COMPLETO","TIEMPOINICIOREALID","HORARIOFINID","HF_COMPLETO","TIEMPOFINID","UNIDADID","TIPOUNIDADID","TIPOUNIDAD"
211403,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,72,173,63001,"5:30:00 p.m.",20210225,67321,"6:42:00 p.m.",20210225,77701,"9:35:00 p.m.",20210225,41269,24,"Trailer"
210741,34053,"FRAILE","AVANTE/ PLANTA/ SANTIAGO","Santiago Tianguistenco",19.1731,-99.4757,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,0,100,63001,"5:30:00 p.m.",20210224,61321,"5:02:00 p.m.",20210224,67321,"6:42:00 p.m.",20210224,41268,24,"Trailer"
210243,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,34611,"Ignacio López Rayon Sur","AVANTE/ PLANTA RAYON/ EDOMEX","RAYON",19.1444,-99.5822,0,424,63001,"5:30:00 p.m.",20210223,62821,"5:27:00 p.m.",20210223,1861,"12:31:00 a.m.",20210224,41268,24,"Trailer"
211164,34453," ZINAPECUARO- ACAMBARO","AVANTE/ PLANTA/ ZINAPECUARO","Zinapecuaro de Figueroa",19.8763,-100.8161,38648,"Industria Automotriz","AVANTE/ DISTRIBUIDORA TEXTIL/ TOLUCA","Toluca de Lerdo",19.2957,-99.5723,0,300,63001,"5:30:00 p.m.",20210225,59581,"4:33:00 p.m.",20210225,77581,"9:33:00 p.m.",20210225,41268,24,"Trailer"
204723,34150,"Artesanos ","PINSA/ PORTEO SUCURSAL/ GUADALAJARA","Tlaquepaque",20.5768,-103.3521,34209,"Guadalajara-Zinapecuaro","PINSA/ FARMACIAS GUADALAJARA CEDIS/ JALISCO","Guadalajara",20.617,-103.2087,0,434,63001,"5:30:00 p.m.",20210212,63001,"5:30:00 p.m.",20210212,2641,"12:44:00 a.m.",20210213,40463,18,"Thorton"
207731,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37164,"FRANCISCO I MADERO ","MIRAGE / COLCHONES Y MUEBLES / CAMPECHE","BARRIO DE SAN FRANCISCO ",0,0,0,0,63001,"5:30:00 p.m.",20210218,-1,"",0,-1,"",0,40395,24,"Trailer"
210775,34080,"IXMILQUILPAN - ACTOPAN","ROSHFRANS/ PLANTA/ ACTOPAN","ACTOPAN",20.2764,-98.9544,34231,"MEXICO -QUERETARO","ROSHFRANS/ PLANTA/ CEDROS","TEPOZOTLAN",19.7091,-99.2037,1,239,63001,"5:30:00 p.m.",20210224,63061,"5:31:00 p.m.",20210224,77401,"9:30:00 p.m.",20210224,42177,13,"Pipa"
211333,37720,"ATT","AT&T/ PLANTA TRES RIOS/ CUAUTITLAN IZCALLI","Cuautitlán Izcalli",19.6961,-99.2115,38024,"","AT&T/ ENTREGA DIRECTA","",0,0,12,678,63001,"5:30:00 p.m.",20210225,63721,"5:42:00 p.m.",20210225,18001,"5:00:00 a.m.",20210226,40761,18,"Thorton"
199848,37018,"PARQUE INDUSTRIAL MIRAGE","MIRAGE / PQUE IND / GDL.","TLAJOMULCO",20.4616,-103.5171,37449,"AV DE LA INDUSTRIA #14320					","MIRAGE / MN DEL GOLFO / ALTAMIRA TMPS","altamira",0,0,5,1654,63001,"5:30:00 p.m.",20210203,63301,"5:35:00 p.m.",20210203,76141,"9:09:00 p.m.",20210204,32294,18,"Thorton"
200507,34110,"RECURSOS HIDRAULICOS ","PINSA/ GRUPO SID/ TULTITLAN","TULTITLAN",19.6196,-99.1802,34112,"CUAUTITLAN-TEPOZOTLAN","PINSA/ WALMART CEDIS LA LUZ/ EDOMEX","CUAUTITLAN",19.6946,-99.2002,0,1303,63001,"5:30:00 p.m.",20210204,63001,"5:30:00 p.m.",20210204,54781,"3:13:00 p.m.",20210205,28646,24,"Trailer"
